Designator,Quantity,Description,Footprint,Case,Manufacturer _Part_Number,Manufacturer Name,Manufacturer Part Number,Manufacturer_Name,Manufacturer_Part_Number

"C1, C2, C3, C9, C18","5","Capacitor - 33pF [0402] (Ceramic)","CAPACITOR_0402","0402","","Kemet","C0402C330J9RACAUTO","",""
"C4, C5, C6, C7, C8, C14, C15, C17","8","Capacitor - 100nF [0402-6V3] (Ceramic)","CAPACITOR_0402","0402","","AVX","04026D104KAT4A","",""
"C10, C11, C12, C13","4","Capacitor - 1nF [0402] (Ceramic)","CAPACITOR_0402","0402","","AVX","04026C102MAT2A","",""
"C16","1","Multilayer Ceramic Capacitors MLCC - SMD/SMT 22UF 25V 10% 1210","CAPACITOR_0603","1210","","Murata","GRM32ER71E226KE15L","",""
"D1","1","LED RGB DIFFUSED SMD","Wurth_0606","0606","","Wurth Elektronik","150066M153000","",""
"J1, J2","2","Mini Tunic Connector with 6P","Connector_Tunic 6P","","","Molex","53261-0671","",""
"J3, J4, J5, J6","4","Mini Tunic Connector with 2P","Connector_Tunic 2P","","","Molex","53261-0271","",""
"Q1, Q2, Q3","3","Bipolar NPN Transistors","SOT1215","DFN-1010D-3","","Nexperia","BC847AQAZ","",""
"R1, R2, R3, R21","4","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","RESISTOR_0402","0402","","Vishay","CRCW0402330RFKED","",""
"R4, R5, R6, R12, R16","5","Thick Film Resistors - SMD 1/16 W 4.7 KOhm 1%","RESISTOR_0402","0402","","Vishay","CRCW04024K70FKED","",""
"R7, R8, R9, R11, R15, R22","6","Thick Film Resistors - SMD 1/16 W 47 KOhm 1%","RESISTOR_0402","0402","","Vishay","CRCW040247K0FKED","",""
"R10, R17, R18, R19, R20","5","Thick Film Resistors - SMD 1/16 W 10 KOhm 1%","RESISTOR_0402","0402","","Vishay","CRCW040210K0FKED","",""
"R13","1","Thick Film Resistors - SMD 1/16 W 0 Ohm","RESISTOR_0402","0402","","Vishay","CRCW04020000Z0ED","",""
"R14","1","Thick Film Resistors - SMD 1 W 120 Ohm 5%","RESISTOR_2512","2512","","YAGEO","RC2512JK-07120RL","",""
"U1","1","8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V","TQFN-32","TQFP-32","","Microchip Technology / Atmel","ATMEGA328P-AU","",""
"U2","1","RS-422/RS-485 Interface IC Low-Power, Slew-Rate-Limited RS-485/RS-422 Transceivers","SOP-8L (AZRS3080E)","SOIC-8","","Maxim Integrated","MAX485CSA+T","",""
"U3","1","Power Switch MosFet","SOT-23-6","SOT-23-6","","Texas Instruments","TPS22917DBVR","",""
"U4","1","LDO Voltage Regulators 800MA LDO LINEAR REG","TO-252","TO-252-3","","Texas Instruments","LM1117DT-3.3/NOPB","",""
